deg,n_samples,range_avg_m,range_min_m,range_max_m,jitter_mm,intensity_avg
0.0,30,1.9010,1.7953,1.9088,113.50,14.6
5.0,30,1.8980,1.8672,1.9043,37.00,15.0
10.0,5,1.1608,1.0527,1.3195,266.75,3.8
15.0,30,0.9719,0.9630,0.9818,18.75,6.0
20.0,30,0.9657,0.9610,0.9710,10.00,6.2
25.0,30,1.0493,1.0417,1.0555,13.75,7.8
30.0,1,1.2845,1.2845,1.2845,0.00,5.0
35.0,30,1.6704,1.6487,1.6892,40.50,15.0
40.0,30,1.4760,1.4595,1.5022,42.75,14.7
45.0,30,0.9160,0.9082,0.9250,16.75,15.0
50.0,30,0.8377,0.8313,0.8440,12.75,15.0
55.0,30,0.7796,0.7757,0.7855,9.75,15.0
60.0,30,0.7351,0.7310,0.7385,7.50,15.0
65.0,30,0.6994,0.6960,0.7015,5.50,15.0
70.0,30,0.6701,0.6685,0.6730,4.50,15.0
75.0,30,0.6503,0.6490,0.6518,2.75,15.0
80.0,30,0.6354,0.6340,0.6367,2.75,15.0
85.0,30,0.6255,0.6248,0.6263,1.50,15.0
90.0,30,0.6228,0.6225,0.6233,0.75,15.0
95.0,30,0.6221,0.6217,0.6223,0.50,15.0
100.0,30,0.6228,0.6220,0.6235,1.50,15.0
105.0,30,0.6278,0.6265,0.6285,2.00,15.0
110.0,30,0.6368,0.6363,0.6382,2.00,15.0
115.0,30,2.8524,2.7950,2.9030,108.00,15.0
120.0,30,2.4032,2.3563,2.4465,90.25,8.0
125.0,30,2.0621,2.0322,2.0893,57.00,7.2
130.0,30,1.7986,1.7782,1.8153,37.00,15.0
135.0,30,1.6143,1.5977,1.6275,29.75,15.0
140.0,30,1.4961,1.4915,1.5007,9.25,15.0
145.0,30,1.5204,1.5057,1.5362,30.50,15.0
150.0,30,1.5931,1.5877,1.5985,10.75,15.0
155.0,30,1.7239,1.7053,1.7422,37.00,15.0
160.0,30,1.9751,1.9415,2.0300,88.50,15.0
165.0,30,2.4696,2.2325,3.1855,953.00,15.0
170.0,30,3.0883,3.0742,3.1045,30.25,15.0
175.0,30,1.6904,1.1850,3.0703,1885.25,14.2
180.0,30,1.1862,1.1842,1.1895,5.25,15.0
185.0,30,1.1416,1.1400,1.1432,3.25,15.0
190.0,30,1.1448,1.1443,1.1455,1.25,15.0
195.0,30,1.1950,1.1855,1.2053,19.75,3.9
200.0,30,1.2076,1.2005,1.2115,11.00,15.0
205.0,30,1.2344,1.2280,1.2480,20.00,14.5
210.0,30,1.2865,1.2795,1.2953,15.75,11.5
215.0,30,1.3421,1.3318,1.3545,22.75,11.5
220.0,30,1.4060,1.4013,1.4125,11.25,14.6
225.0,30,1.5884,1.5577,1.6035,45.75,14.6
230.0,30,1.6096,1.5983,1.6195,21.25,15.0
235.0,30,1.7794,1.7630,1.8020,39.00,8.6
240.0,30,1.9580,1.9385,1.9783,39.75,15.0
245.0,30,2.2258,2.1962,2.2552,59.00,15.0
250.0,30,2.6354,2.5947,2.6832,88.50,6.3
255.0,30,3.1927,3.0680,3.4272,359.25,11.0
260.0,30,6.4037,6.3015,6.5332,231.75,9.7
265.0,30,4.6793,4.6743,4.6828,8.50,15.0
270.0,30,3.1006,2.8912,3.8715,980.25,15.0
275.0,30,2.9092,2.8942,2.9443,50.00,14.9
280.0,30,2.5881,2.5740,2.6033,29.25,15.0
285.0,30,2.5489,2.5400,2.5693,29.25,12.3
290.0,30,2.3745,2.3547,2.4085,53.75,14.2
295.0,30,2.1298,2.1235,2.1365,13.00,15.0
300.0,30,1.7594,1.7550,1.7655,10.50,15.0
305.0,30,1.6397,1.2355,1.8032,567.75,14.7
310.0,30,1.2849,1.1198,1.4660,346.25,15.0
315.0,30,1.2560,1.1220,1.3770,255.00,15.0
320.0,30,1.2787,1.1537,1.3893,235.50,15.0
325.0,30,2.3901,2.3702,2.4062,36.00,15.0
330.0,30,2.2500,2.2392,2.2595,20.25,15.0
335.0,30,2.1512,2.1428,2.1607,18.00,15.0
340.0,30,1.3319,1.3265,1.3372,10.75,15.0
345.0,30,1.2910,1.2873,1.2938,6.50,15.0
350.0,30,1.2612,1.2587,1.2630,4.25,15.0
355.0,30,1.2569,1.2540,1.2590,5.00,15.0
